ad_unit_id,publisher_id,ad_unit_name,ad_format,ad_size,placement_type,is_active,created_at
au_0001,1,The Daily Globe - Top Banner,Banner,728x90,above_fold,1,2024-06-01 00:00:00
au_0002,1,The Daily Globe - Mid-Content Rect,Display,300x250,in_content,1,2024-06-01 00:00:00
au_0003,1,The Daily Globe - Sticky Footer,Display,320x50,sticky,1,2024-06-01 00:00:00
au_0004,2,TechCrunchy - Top Banner,Banner,728x90,above_fold,1,2024-06-01 00:00:00
au_0005,2,TechCrunchy - Mid-Content Rect,Display,300x250,in_content,1,2024-06-01 00:00:00
au_0006,2,TechCrunchy - Sticky Footer,Display,320x50,sticky,1,2024-06-01 00:00:00
au_0007,3,FoodieWeekly - Top Banner,Banner,728x90,above_fold,1,2024-06-01 00:00:00
au_0008,3,FoodieWeekly - Mid-Content Rect,Display,300x250,in_content,1,2024-06-01 00:00:00
au_0009,3,FoodieWeekly - Sticky Footer,Display,320x50,sticky,1,2024-06-01 00:00:00
au_0010,4,Sportscentre Live - Top Banner,Banner,728x90,above_fold,1,2024-06-01 00:00:00
au_0011,4,Sportscentre Live - Mid-Content Rect,Display,300x250,in_content,1,2024-06-01 00:00:00
au_0012,4,Sportscentre Live - Sticky Footer,Display,320x50,sticky,1,2024-06-01 00:00:00
au_0013,5,EuroNews24 - Top Banner,Banner,728x90,above_fold,1,2024-06-01 00:00:00
au_0014,5,EuroNews24 - Mid-Content Rect,Display,300x250,in_content,1,2024-06-01 00:00:00
au_0015,5,EuroNews24 - Sticky Footer,Display,320x50,sticky,1,2024-06-01 00:00:00
au_0016,6,GameZone - Sticky Footer,Display,320x50,sticky,1,2024-06-01 00:00:00
au_0017,6,GameZone - Right-Rail Sticky,Display,300x250,sticky,1,2024-06-01 00:00:00
au_0018,6,GameZone - Below-Article Block,Display,300x250,below_fold,1,2024-06-01 00:00:00
au_0019,7,Screen Rant Gaming - Top Banner,Banner,728x90,above_fold,1,2024-06-01 00:00:00
au_0020,7,Screen Rant Gaming - Mid-Content Rect,Display,300x250,in_content,1,2024-06-01 00:00:00
au_0021,7,Screen Rant Gaming - Sticky Footer,Display,320x50,sticky,1,2024-06-01 00:00:00
au_0022,8,Cinema Buzz - Top Banner,Banner,728x90,above_fold,1,2024-06-01 00:00:00
au_0023,8,Cinema Buzz - Mid-Content Rect,Display,300x250,in_content,1,2024-06-01 00:00:00
au_0024,8,Cinema Buzz - Sticky Footer,Display,320x50,sticky,1,2024-06-01 00:00:00
au_0025,9,Auto Enthusiast - Top Banner,Banner,728x90,above_fold,1,2024-06-01 00:00:00
au_0026,9,Auto Enthusiast - Mid-Content Rect,Display,300x250,in_content,1,2024-06-01 00:00:00
au_0027,9,Auto Enthusiast - Sticky Footer,Display,320x50,sticky,1,2024-06-01 00:00:00
